pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
138.4,-112.4,180.0,top,C1,,,C_0603_1608Metric,1uF,smt
126.6,-104.4,90.0,top,C10,,,C_0603_1608Metric,20pF,smt
111.2,-119.0,90.0,top,C11,,,C_0603_1608Metric,100nF,smt
147.8,-117.6,0.0,top,C12,,,C_0603_1608Metric,100nF,smt
158.575,-117.6,0.0,top,C13,,,C_0603_1608Metric,100nF,smt
169.425,-117.6,0.0,top,C14,,,C_0603_1608Metric,100nF,smt
180.225,-117.545,0.0,top,C15,,,C_0603_1608Metric,100nF,smt
141.4,-103.6,0.0,top,C16,,,C_0603_1608Metric,1uF,smt
141.4,-105.4,180.0,top,C17,,,C_0603_1608Metric,100nF,smt
138.4,-114.4,0.0,top,C2,,,C_0603_1608Metric,100nF,smt
115.6,-113.8,-90.0,top,C25,,,CP_Elec_5x5.4,47uf,smt
121.8,-113.8,-90.0,top,C26,,,CP_Elec_5x5.4,47uf,smt
149.85,-82.35,-90.0,top,C3,,,C_0603_1608Metric,2.2uf,smt
145.575,-82.4,0.0,top,C37,,,C_0603_1608Metric,100nF,smt
147.2,-96.0,0.0,top,C38,,,C_0603_1608Metric,100nF,smt
125.375,-81.4,180.0,top,C39,,,C_0603_1608Metric,100nF,smt
152.3,-83.1,180.0,top,C4,,,C_0603_1608Metric,1uf,smt
127.0,-98.2,-90.0,top,C40,,,C_0603_1608Metric,100nF,smt
128.45,-78.85,0.0,top,C5,,,C_0603_1608Metric,2.2uf,smt
134.425,-114.2,180.0,top,C50,,,C_0603_1608Metric,100nf,smt
123.4,-106.0,90.0,top,C6,,,C_0603_1608Metric,100nF,smt
134.225,-110.175,0.0,top,C7,,,C_0603_1608Metric,12pF,smt
137.4,-110.175,180.0,top,C8,,,C_0603_1608Metric,12pF,smt
130.2,-102.8,180.0,top,C9,,,C_0603_1608Metric,20pF,smt
117.2,-86.45,180.0,top,D2,,,SOT-143,SP0503BAHT,smt
118.8,-101.05,90.0,top,D3,,,D_SMA,SS13,smt
117.95,-95.15,-90.0,top,F1,,,Fuse_1206_3216Metric,Polyfuse_Small,smt
141.2,-72.24,90.0,top,J1,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
143.25,-77.75,90.0,top,J10,,,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04_Pin,tht
164.06,-72.24,90.0,top,J2,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
123.42,-120.5,90.0,top,J3,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
146.28,-120.5,90.0,top,J4,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
169.14,-120.5,90.0,top,J5,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
114.275,-72.24,90.0,top,J6,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10_Pin,tht
189.46,-72.24,0.0,top,J7,,,PinHeader_2x18_P2.54mm_Vertical,Conn_02x18,tht
105.1,-100.1,-90.0,top,J8,,,CUI_MSD-1-A,MSD-1-A,smt
97.265519,-84.932759,-90.0,top,J9,,,ASSMANN_USB_TYPE-B,AU-Y1007,tht
174.0775,-91.445,0.0,top,LED1,SML-310LTT86,,LED_0805_2012Metric,RED,smt
174.165,-94.6,180.0,top,LED2,SML-310LTT86,,LED_0805_2012Metric,RED,smt
138.4,-116.4,0.0,top,R1,,,R_0603_1608Metric,910,smt
151.8,-102.775,90.0,top,R10,,,R_0603_1608Metric,910,smt
153.8,-106.0,-90.0,top,R11,,,R_0603_1608Metric,470,smt
155.8,-106.0,-90.0,top,R12,,,R_0603_1608Metric,470,smt
157.8,-106.0,-90.0,top,R13,,,R_0603_1608Metric,470,smt
159.8,-106.0,-90.0,top,R14,,,R_0603_1608Metric,470,smt
153.8,-102.775,90.0,top,R15,,,R_0603_1608Metric,910,smt
155.8,-102.775,90.0,top,R16,,,R_0603_1608Metric,910,smt
157.8,-102.8,90.0,top,R17,,,R_0603_1608Metric,910,smt
159.8,-102.8,90.0,top,R18,,,R_0603_1608Metric,910,smt
161.8,-106.0,-90.0,top,R19,,,R_0603_1608Metric,470,smt
134.4,-112.4,180.0,top,R2,,,R_0603_1608Metric,470,smt
